sampling_week,effective_concentration_rolling_average,population,region
2020-06-17,174.43674612945924,"3,000,000-10,000,000",South
2020-06-17,93.32609166256292,"3,000,000-10,000,000",West
2020-06-24,71.35612691263975,"1,000,000-3,000,000",Midwest
2020-06-24,99.77440372722658,"10,000,000-30,000,000",Nationwide
2020-06-24,28.069893875687907,"3,000,000-10,000,000",Northeast
2020-06-24,173.0817014047349,"3,000,000-10,000,000",South
2020-06-24,83.34197489656506,"3,000,000-10,000,000",West
2020-07-01,73.3892630056328,"1,000,000-3,000,000",Midwest
2020-07-01,154.15509737852415,"10,000,000-30,000,000",Nationwide
2020-07-01,35.52506618632884,"3,000,000-10,000,000",Northeast
2020-07-01,326.8483012318857,"3,000,000-10,000,000",South
2020-07-01,50.22355127993925,"300,000-1,000,000",West
2020-07-08,94.92286327362608,"300,000-1,000,000",Midwest
2020-07-08,178.79411216752882,"10,000,000-30,000,000",Nationwide
2020-07-08,38.93198659824526,"3,000,000-10,000,000",Northeast
2020-07-08,360.0042947856134,"3,000,000-10,000,000",South
2020-07-08,48.29736447218855,"1,000,000-3,000,000",West
2020-07-15,148.4438517842886,"1,000,000-3,000,000",Midwest
2020-07-15,227.02488542716367,"10,000,000-30,000,000",Nationwide
2020-07-15,36.92212456650369,"3,000,000-10,000,000",Northeast
2020-07-15,458.49260646434095,"3,000,000-10,000,000",South
2020-07-15,66.87240435287102,"300,000-1,000,000",West
2020-07-22,149.11615714892184,"1,000,000-3,000,000",Midwest
2020-07-22,159.9748927584682,"10,000,000-30,000,000",Nationwide
2020-07-22,34.14518346334342,"3,000,000-10,000,000",Northeast
2020-07-22,295.2148927440281,"3,000,000-10,000,000",South
2020-07-22,94.33196302115596,"1,000,000-3,000,000",West
2020-07-29,132.06447463599204,"300,000-1,000,000",Midwest
2020-07-29,150.51444921391726,"3,000,000-10,000,000",Nationwide
2020-07-29,39.12668292206323,"1,000,000-3,000,000",Northeast
2020-07-29,266.45957801959617,"3,000,000-10,000,000",South
2020-07-29,88.10090707200168,"1,000,000-3,000,000",West
2020-08-05,168.18507252935208,"1,000,000-3,000,000",Midwest
2020-08-05,165.8671228401441,"10,000,000-30,000,000",Nationwide
2020-08-05,46.13014902115012,"3,000,000-10,000,000",Northeast
2020-08-05,260.8118912025148,"3,000,000-10,000,000",South
2020-08-05,96.170434887841,"1,000,000-3,000,000",West
2020-08-12,163.80727466467866,"1,000,000-3,000,000",Midwest
2020-08-12,126.16797473823902,"10,000,000-30,000,000",Nationwide
2020-08-12,40.23179324911308,"3,000,000-10,000,000",Northeast
2020-08-12,169.17101745553157,"3,000,000-10,000,000",South
2020-08-12,99.7514847370198,"3,000,000-10,000,000",West
2020-08-19,139.91126776184436,"1,000,000-3,000,000",Midwest
2020-08-19,106.68606834318194,"10,000,000-30,000,000",Nationwide
2020-08-19,36.76253770879446,"3,000,000-10,000,000",Northeast
2020-08-19,141.4228765801179,"3,000,000-10,000,000",South
2020-08-19,83.35694197397315,"1,000,000-3,000,000",West
2020-08-26,146.3990532352995,"1,000,000-3,000,000",Midwest
2020-08-26,107.88510860143992,"10,000,000-30,000,000",Nationwide
2020-08-26,44.181934959745966,"3,000,000-10,000,000",Northeast
2020-08-26,132.67686581450312,"3,000,000-10,000,000",South
2020-08-26,95.0026557318306,"1,000,000-3,000,000",West
2020-09-02,135.98510349846043,"1,000,000-3,000,000",Midwest
2020-09-02,100.05980131420024,"10,000,000-30,000,000",Nationwide
2020-09-02,54.96750440851204,"3,000,000-10,000,000",Northeast
2020-09-02,117.98723426131498,"3,000,000-10,000,000",South
2020-09-02,88.1046922052427,"1,000,000-3,000,000",West
2020-09-09,114.1312865067878,"1,000,000-3,000,000",Midwest
2020-09-09,76.49224020728651,"10,000,000-30,000,000",Nationwide
2020-09-09,49.57575416483744,"3,000,000-10,000,000",Northeast
2020-09-09,80.49560188409416,"3,000,000-10,000,000",South
2020-09-09,73.5747460198107,"1,000,000-3,000,000",West
2020-09-16,102.42514935344263,"1,000,000-3,000,000",Midwest
2020-09-16,65.13233136915004,"10,000,000-30,000,000",Nationwide
2020-09-16,46.14509180885144,"3,000,000-10,000,000",Northeast
2020-09-16,65.57255721149322,"3,000,000-10,000,000",South
2020-09-16,63.28419617894728,"1,000,000-3,000,000",West
2020-09-23,112.1347448567564,"1,000,000-3,000,000",Midwest
2020-09-23,67.46107273987049,"10,000,000-30,000,000",Nationwide
2020-09-23,48.47911929072305,"1,000,000-3,000,000",Northeast
2020-09-23,67.45663270331217,"3,000,000-10,000,000",South
2020-09-23,60.527119135674326,"1,000,000-3,000,000",West
2020-09-30,106.22461353470013,"1,000,000-3,000,000",Midwest
2020-09-30,71.03117352085108,"10,000,000-30,000,000",Nationwide
2020-09-30,50.63564057532201,"3,000,000-10,000,000",Northeast
2020-09-30,69.6374603619957,"3,000,000-10,000,000",South
2020-09-30,75.74017912383165,"3,000,000-10,000,000",West
2020-10-07,145.68532276053398,"1,000,000-3,000,000",Midwest
