sampling_week,effective_concentration_rolling_average,population,region
2021-10-27,574.2713963618424,"3,000,000-10,000,000",Northeast
2021-10-27,332.7275938018709,"3,000,000-10,000,000",South
2021-10-27,949.3760984570722,"300,000-1,000,000",West
2021-11-03,418.8443010734058,"300,000-1,000,000",Midwest
2021-11-03,508.9255122553016,"3,000,000-10,000,000",Nationwide
2021-11-03,664.6236759042589,"3,000,000-10,000,000",Northeast
2021-11-03,320.76440369855646,"3,000,000-10,000,000",South
2021-11-03,811.8005198228693,"300,000-1,000,000",West
2021-11-10,496.9650965145568,"300,000-1,000,000",Midwest
2021-11-10,581.9714959060746,"3,000,000-10,000,000",Nationwide
2021-11-10,877.2610945443452,"3,000,000-10,000,000",Northeast
2021-11-10,293.7219612282156,"3,000,000-10,000,000",South
2021-11-10,620.5349153600577,"300,000-1,000,000",West
2021-11-17,930.8394137618494,"300,000-1,000,000",Midwest
2021-11-17,718.1765946635041,"3,000,000-10,000,000",Nationwide
2021-11-17,1090.893721550303,"3,000,000-10,000,000",Northeast
2021-11-17,297.3748941868916,"3,000,000-10,000,000",South
2021-11-17,881.5174645297785,"300,000-1,000,000",West
2021-11-24,1670.9828588709065,"300,000-1,000,000",Midwest
2021-11-24,978.9087062570992,"3,000,000-10,000,000",Nationwide
2021-11-24,1322.527226602517,"3,000,000-10,000,000",Northeast
2021-11-24,428.6290791030019,"3,000,000-10,000,000",South
2021-11-24,1252.919272875141,"300,000-1,000,000",West
2021-12-01,1503.7269279082104,"300,000-1,000,000",Midwest
2021-12-01,1237.8679451921687,"3,000,000-10,000,000",Nationwide
2021-12-01,1868.7435353162607,"3,000,000-10,000,000",Northeast
2021-12-01,624.1253814991882,"3,000,000-10,000,000",South
2021-12-01,853.2599584150952,"300,000-1,000,000",West
2021-12-08,1325.338482731236,"300,000-1,000,000",Midwest
2021-12-08,1225.9856905053412,"3,000,000-10,000,000",Nationwide
2021-12-08,1801.3781147825366,"3,000,000-10,000,000",Northeast
2021-12-08,761.1979264527703,"3,000,000-10,000,000",South
2021-12-08,522.1591348918396,"300,000-1,000,000",West
2021-12-15,1367.347476522723,"300,000-1,000,000",Midwest
2021-12-15,1620.615132193874,"3,000,000-10,000,000",Nationwide
2021-12-15,2094.359148478441,"3,000,000-10,000,000",Northeast
2021-12-15,1320.050136078522,"3,000,000-10,000,000",South
2021-12-15,752.6968318619664,"300,000-1,000,000",West
2021-12-22,1336.5571707411611,"300,000-1,000,000",Midwest
2021-12-22,3071.381362690567,"3,000,000-10,000,000",Nationwide
2021-12-22,3833.5619002757153,"3,000,000-10,000,000",Northeast
2021-12-22,2814.6417454238303,"3,000,000-10,000,000",South
2021-12-22,1263.1475433659082,"100,000-300,000",West
2021-12-29,2804.8789829415314,"300,000-1,000,000",Midwest
2021-12-29,4828.570877699119,"3,000,000-10,000,000",Nationwide
2021-12-29,7184.610600644063,"3,000,000-10,000,000",Northeast
2021-12-29,3273.8788848735544,"3,000,000-10,000,000",South
2021-12-29,3050.211518579437,"300,000-1,000,000",West
2022-01-05,3961.7074370326495,"300,000-1,000,000",Midwest
2022-01-05,4678.446506527066,"3,000,000-10,000,000",Nationwide
2022-01-05,6620.497445426976,"3,000,000-10,000,000",Northeast
2022-01-05,3108.5672500179985,"3,000,000-10,000,000",South
2022-01-05,3227.2939774666925,"300,000-1,000,000",West
2022-01-12,3293.1567038897447,"300,000-1,000,000",Midwest
2022-01-12,3535.1204836064394,"3,000,000-10,000,000",Nationwide
2022-01-12,4021.536356603737,"3,000,000-10,000,000",Northeast
2022-01-12,3213.310660086104,"3,000,000-10,000,000",South
2022-01-12,1963.8792968955736,"100,000-300,000",West
2022-01-19,2133.20784349219,"300,000-1,000,000",Midwest
2022-01-19,2103.942348195247,"3,000,000-10,000,000",Nationwide
2022-01-19,2102.315153983753,"3,000,000-10,000,000",Northeast
2022-01-19,2180.071025007436,"3,000,000-10,000,000",South
2022-01-19,1457.2216937087258,"300,000-1,000,000",West
2022-01-26,1238.2853109916948,"3,000,000-10,000,000",Midwest
2022-01-26,1404.243819380962,"10,000,000-30,000,000",Nationwide
2022-01-26,1274.6529080757643,"3,000,000-10,000,000",Northeast
2022-01-26,1659.5207364238306,"3,000,000-10,000,000",South
2022-01-26,1139.9813964657203,"1,000,000-3,000,000",West
2022-02-02,598.910269526795,"3,000,000-10,000,000",Midwest
2022-02-02,872.5903327896816,"10,000,000-30,000,000",Nationwide
2022-02-02,736.2695241647215,"3,000,000-10,000,000",Northeast
2022-02-02,1117.5580147843557,"3,000,000-10,000,000",South
2022-02-02,769.0468466599868,"3,000,000-10,000,000",West
2022-02-09,356.3157770747192,"3,000,000-10,000,000",Midwest
2022-02-09,418.3661255828949,"10,000,000-30,000,000",Nationwide
2022-02-09,371.205063209402,"3,000,000-10,000,000",Northeast
2022-02-09,486.2251838263612,"3,000,000-10,000,000",South
2022-02-09,389.4222414536503,"3,000,000-10,000,000",West
2022-02-16,249.94789399555177,"3,000,000-10,000,000",Midwest
2022-02-16,231.5751818308493,"10,000,000-30,000,000",Nationwide
2022-02-16,217.9568344911411,"3,000,000-10,000,000",Northeast
2022-02-16,235.96986190563615,"3,000,000-10,000,000",South
2022-02-16,223.27680594752724,"3,000,000-10,000,000",West
2022-02-23,187.8338282999545,"3,000,000-10,000,000",Midwest
2022-02-23,155.62546366759662,"10,000,000-30,000,000",Nationwide
2022-02-23,161.6327201032822,"3,000,000-10,000,000",Northeast
2022-02-23,147.00721455278276,"3,000,000-10,000,000",South
2022-02-23,135.82173251594693,"3,000,000-10,000,000",West
2022-03-02,127.46683021867068,"3,000,000-10,000,000",Midwest
2022-03-02,119.13119232149675,"10,000,000-30,000,000",Nationwide
2022-03-02,148.99389430524457,"3,000,000-10,000,000",Northeast
2022-03-02,108.2003361786105,"3,000,000-10,000,000",South
2022-03-02,92.8278580806646,"3,000,000-10,000,000",West
2022-03-09,99.81186706331172,"3,000,000-10,000,000",Midwest
2022-03-09,107.53282448723829,"10,000,000-30,000,000",Nationwide
2022-03-09,155.92526622820154,"3,000,000-10,000,000",Northeast
2022-03-09,91.7889167752523,"3,000,000-10,000,000",South
2022-03-09,79.80714459464096,"3,000,000-10,000,000",West
2022-03-16,107.11616941035548,"3,000,000-10,000,000",Midwest
2022-03-16,116.77672093856864,"10,000,000-30,000,000",Nationwide
2022-03-16,192.9420692207688,"3,000,000-10,000,000",Northeast
2022-03-16,87.09604367421814,"3,000,000-10,000,000",South
2022-03-16,81.98241069548587,"3,000,000-10,000,000",West
2022-03-23,107.99240693588554,"3,000,000-10,000,000",Midwest
2022-03-23,123.4046365590248,"10,000,000-30,000,000",Nationwide
2022-03-23,206.83438537631463,"3,000,000-10,000,000",Northeast
2022-03-23,92.33778335641172,"3,000,000-10,000,000",South
2022-03-23,83.2768997848275,"3,000,000-10,000,000",West
2022-03-30,143.536939977654,"3,000,000-10,000,000",Midwest
2022-03-30,171.17973406303994,"10,000,000-30,000,000",Nationwide
2022-03-30,291.621334420601,"3,000,000-10,000,000",Northeast
2022-03-30,135.51465036617853,"3,000,000-10,000,000",South
2022-03-30,98.8165908544123,"3,000,000-10,000,000",West
2022-04-06,213.90765443728955,"3,000,000-10,000,000",Midwest
2022-04-06,242.52153013688093,"10,000,000-30,000,000",Nationwide
2022-04-06,416.28593085759286,"3,000,000-10,000,000",Northeast
2022-04-06,187.8232674379433,"3,000,000-10,000,000",South
2022-04-06,134.48201784034677,"3,000,000-10,000,000",West
2022-04-13,275.39844568702046,"3,000,000-10,000,000",Midwest
2022-04-13,299.45152783301063,"10,000,000-30,000,000",Nationwide
2022-04-13,523.6722918356326,"3,000,000-10,000,000",Northeast
2022-04-13,220.2648243433545,"3,000,000-10,000,000",South
2022-04-13,180.2402383095282,"3,000,000-10,000,000",West
2022-04-20,317.7941266473585,"3,000,000-10,000,000",Midwest
2022-04-20,346.84084236380914,"10,000,000-30,000,000",Nationwide
2022-04-20,548.9755254819348,"3,000,000-10,000,000",Northeast
2022-04-20,249.84031905846,"3,000,000-10,000,000",South
2022-04-20,305.416101351269,"3,000,000-10,000,000",West
2022-04-27,365.41091690613126,"3,000,000-10,000,000",Midwest
2022-04-27,430.4109344772765,"10,000,000-30,000,000",Nationwide
2022-04-27,599.8823313686266,"3,000,000-10,000,000",Northeast
2022-04-27,320.18617685103146,"3,000,000-10,000,000",South
2022-04-27,469.95156010608986,"3,000,000-10,000,000",West
2022-05-04,445.3522873827167,"3,000,000-10,000,000",Midwest
2022-05-04,501.3113697853881,"10,000,000-30,000,000",Nationwide
2022-05-04,803.5082896937366,"3,000,000-10,000,000",Northeast
2022-05-04,367.6171503052825,"3,000,000-10,000,000",South
2022-05-04,414.9759591964552,"3,000,000-10,000,000",West
2022-05-11,526.543745183497,"3,000,000-10,000,000",Midwest
2022-05-11,636.7926936236769,"10,000,000-30,000,000",Nationwide
2022-05-11,1063.7876845224876,"3,000,000-10,000,000",Northeast
2022-05-11,500.8367880692449,"3,000,000-10,000,000",South
2022-05-11,458.60022164357787,"3,000,000-10,000,000",West
2022-05-18,578.8109591284857,"3,000,000-10,000,000",Midwest
2022-05-18,728.8871002166488,"30,000,000-100,000,000",Nationwide
2022-05-18,1046.9804762075685,"3,000,000-10,000,000",Northeast
2022-05-18,675.617831434456,"3,000,000-10,000,000",South
2022-05-18,575.860573766848,"3,000,000-10,000,000",West
2022-05-25,607.583960637482,"3,000,000-10,000,000",Midwest
2022-05-25,735.3070426863472,"30,000,000-100,000,000",Nationwide
2022-05-25,887.3547787339129,"3,000,000-10,000,000",Northeast
2022-05-25,732.3002616846312,"10,000,000-30,000,000",South
2022-05-25,678.8260753735518,"3,000,000-10,000,000",West
2022-06-01,579.6739619214278,"3,000,000-10,000,000",Midwest
2022-06-01,738.2056356086105,"30,000,000-100,000,000",Nationwide
2022-06-01,809.9108964356366,"3,000,000-10,000,000",Northeast
2022-06-01,739.6273902652391,"10,000,000-30,000,000",South
2022-06-01,778.6232464523549,"3,000,000-10,000,000",West
2022-06-08,596.8522443876242,"3,000,000-10,000,000",Midwest
2022-06-08,772.2428779094338,"30,000,000-100,000,000",Nationwide
2022-06-08,717.8109826037125,"3,000,000-10,000,000",Northeast
2022-06-08,774.7048053936443,"10,000,000-30,000,000",South
2022-06-08,913.872807699824,"10,000,000-30,000,000",West
2022-06-15,622.0648645855453,"3,000,000-10,000,000",Midwest
2022-06-15,761.8289373227959,"30,000,000-100,000,000",Nationwide
2022-06-15,657.344335890641,"3,000,000-10,000,000",Northeast
2022-06-15,784.9213589919915,"10,000,000-30,000,000",South
2022-06-15,897.295450853794,"10,000,000-30,000,000",West
2022-06-22,624.2786111323816,"3,000,000-10,000,000",Midwest
2022-06-22,801.1478639401525,"30,000,000-100,000,000",Nationwide
2022-06-22,657.5808305012247,"3,000,000-10,000,000",Northeast
2022-06-22,855.2039777482347,"10,000,000-30,000,000",South
2022-06-22,964.8924109611772,"10,000,000-30,000,000",West
2022-06-29,672.8186012338266,"3,000,000-10,000,000",Midwest
2022-06-29,808.6482429825261,"30,000,000-100,000,000",Nationwide
2022-06-29,753.8817801368713,"3,000,000-10,000,000",Northeast
2022-06-29,812.0348256731689,"10,000,000-30,000,000",South
2022-06-29,951.0135007680088,"3,000,000-10,000,000",West
2022-07-06,812.7982603544903,"3,000,000-10,000,000",Midwest
2022-07-06,957.570879815002,"30,000,000-100,000,000",Nationwide
2022-07-06,896.2574264123738,"3,000,000-10,000,000",Northeast
2022-07-06,1005.9275448742392,"10,000,000-30,000,000",South
2022-07-06,1035.6149362159206,"10,000,000-30,000,000",West
2022-07-13,938.8878833058072,"3,000,000-10,000,000",Midwest
2022-07-13,1095.143233866835,"30,000,000-100,000,000",Nationwide
2022-07-13,982.0570305251543,"10,000,000-30,000,000",Northeast
2022-07-13,1233.2910126754275,"10,000,000-30,000,000",South
2022-07-13,1080.5590171236645,"10,000,000-30,000,000",West
2022-07-20,1009.273692965353,"3,000,000-10,000,000",Midwest
2022-07-20,1101.0588813106174,"30,000,000-100,000,000",Nationwide
2022-07-20,1000.3140722212538,"10,000,000-30,000,000",Northeast
2022-07-20,1230.2804783831164,"10,000,000-30,000,000",South
2022-07-20,1053.780944918613,"3,000,000-10,000,000",West
2022-07-27,887.5710746321644,"3,000,000-10,000,000",Midwest
2022-07-27,1004.705713272446,"30,000,000-100,000,000",Nationwide
2022-07-27,984.0444749342448,"10,000,000-30,000,000",Northeast
2022-07-27,1162.2660190226186,"10,000,000-30,000,000",South
2022-07-27,880.153458110015,"10,000,000-30,000,000",West
2022-08-03,871.0422858222922,"3,000,000-10,000,000",Midwest
2022-08-03,905.7243438670988,"30,000,000-100,000,000",Nationwide
2022-08-03,932.6398797303076,"10,000,000-30,000,000",Northeast
2022-08-03,1014.2726437344796,"10,000,000-30,000,000",South
2022-08-03,754.639091304694,"10,000,000-30,000,000",West
2022-08-10,894.1848626097386,"3,000,000-10,000,000",Midwest
2022-08-10,793.3470216243433,"30,000,000-100,000,000",Nationwide
2022-08-10,854.605802259029,"10,000,000-30,000,000",Northeast
2022-08-10,816.529613641696,"10,000,000-30,000,000",South
2022-08-10,641.6477947582555,"10,000,000-30,000,000",West
2022-08-17,799.5974431609133,"3,000,000-10,000,000",Midwest
2022-08-17,720.0040688044888,"30,000,000-100,000,000",Nationwide
2022-08-17,845.369147611144,"10,000,000-30,000,000",Northeast
2022-08-17,731.4198192229752,"10,000,000-30,000,000",South
2022-08-17,545.3450731298606,"10,000,000-30,000,000",West
2022-08-24,769.249760076022,"3,000,000-10,000,000",Midwest
2022-08-24,696.6771902334382,"30,000,000-100,000,000",Nationwide
2022-08-24,803.7309523719335,"10,000,000-30,000,000",Northeast
2022-08-24,717.66672057796,"10,000,000-30,000,000",South
2022-08-24,529.3974331684066,"10,000,000-30,000,000",West
2022-08-31,787.9944349058845,"3,000,000-10,000,000",Midwest
2022-08-31,743.1365401493125,"30,000,000-100,000,000",Nationwide
2022-08-31,875.2153674988195,"10,000,000-30,000,000",Northeast
2022-08-31,784.9495545499582,"10,000,000-30,000,000",South
2022-08-31,538.3255971217634,"10,000,000-30,000,000",West
2022-09-07,787.1487036113185,"3,000,000-10,000,000",Midwest
2022-09-07,779.4723090948769,"30,000,000-100,000,000",Nationwide
2022-09-07,1041.2057683231913,"10,000,000-30,000,000",Northeast
2022-09-07,781.6984522542921,"10,000,000-30,000,000",South
2022-09-07,554.7012299635663,"10,000,000-30,000,000",West
2022-09-14,668.6785072988429,"3,000,000-10,000,000",Midwest
2022-09-14,749.53671539661,"30,000,000-100,000,000",Nationwide
2022-09-14,1135.6963120238936,"10,000,000-30,000,000",Northeast
2022-09-14,662.3621991275885,"10,000,000-30,000,000",South
2022-09-14,531.7677931341001,"10,000,000-30,000,000",West
2022-09-21,503.9123394167827,"300,000-1,000,000",Midwest
2022-09-21,684.201339014428,"10,000,000-30,000,000",Nationwide
2022-09-21,1149.5424316969295,"3,000,000-10,000,000",Northeast
2022-09-21,433.23451634896895,"3,000,000-10,000,000",South
2022-09-21,455.6601446197872,"3,000,000-10,000,000",West
2022-09-28,541.0660418338007,"3,000,000-10,000,000",Midwest
2022-09-28,626.8445371073657,"30,000,000-100,000,000",Nationwide
2022-09-28,1145.7801782712768,"10,000,000-30,000,000",Northeast
2022-09-28,431.0049558469853,"10,000,000-30,000,000",South
2022-09-28,488.7050724135982,"10,000,000-30,000,000",West
2022-10-05,538.4015944387147,"3,000,000-10,000,000",Midwest
2022-10-05,594.7398161701036,"30,000,000-100,000,000",Nationwide
2022-10-05,1179.155645157688,"10,000,000-30,000,000",Northeast
2022-10-05,404.2983561422299,"10,000,000-30,000,000",South
2022-10-05,462.64476334600585,"10,000,000-30,000,000",West
2022-10-12,585.1421553370732,"3,000,000-10,000,000",Midwest
2022-10-12,627.5864535493098,"30,000,000-100,000,000",Nationwide
2022-10-12,1249.1615765746951,"10,000,000-30,000,000",Northeast
2022-10-12,427.8128935287148,"10,000,000-30,000,000",South
2022-10-12,481.0633206357991,"10,000,000-30,000,000",West
2022-10-19,635.3104884373657,"3,000,000-10,000,000",Midwest
2022-10-19,595.9048870842711,"30,000,000-100,000,000",Nationwide
2022-10-19,1063.0825575567596,"10,000,000-30,000,000",Northeast
2022-10-19,406.2852869697928,"10,000,000-30,000,000",South
2022-10-19,480.4043347362779,"10,000,000-30,000,000",West
2022-10-26,576.1655735508991,"3,000,000-10,000,000",Midwest
2022-10-26,513.8160573899057,"30,000,000-100,000,000",Nationwide
2022-10-26,781.3572343750676,"10,000,000-30,000,000",Northeast
2022-10-26,377.96787911563473,"10,000,000-30,000,000",South
2022-10-26,462.19445323781065,"10,000,000-30,000,000",West
2022-11-02,558.7654119411235,"3,000,000-10,000,000",Midwest
2022-11-02,517.7215634090097,"30,000,000-100,000,000",Nationwide
2022-11-02,744.7153934714987,"10,000,000-30,000,000",Northeast
2022-11-02,392.2589831512842,"10,000,000-30,000,000",South
2022-11-02,496.5723716551904,"10,000,000-30,000,000",West
2022-11-09,594.5923028508811,"3,000,000-10,000,000",Midwest
2022-11-09,540.5396028948322,"30,000,000-100,000,000",Nationwide
2022-11-09,708.5715429190835,"10,000,000-30,000,000",Northeast
2022-11-09,402.6653732405689,"10,000,000-30,000,000",South
2022-11-09,585.9778347282346,"10,000,000-30,000,000",West
2022-11-16,621.791427272262,"3,000,000-10,000,000",Midwest
2022-11-16,595.5736150098966,"30,000,000-100,000,000",Nationwide
2022-11-16,733.8481704546166,"10,000,000-30,000,000",Northeast
2022-11-16,449.8382166707742,"10,000,000-30,000,000",South
2022-11-16,703.4063265835839,"10,000,000-30,000,000",West
2022-11-23,663.4291062682508,"3,000,000-10,000,000",Midwest
2022-11-23,696.9842412690749,"30,000,000-100,000,000",Nationwide
2022-11-23,839.7102185182075,"10,000,000-30,000,000",Northeast
2022-11-23,562.4896910623944,"10,000,000-30,000,000",South
2022-11-23,828.6741199097545,"10,000,000-30,000,000",West
2022-11-30,896.0014435211496,"3,000,000-10,000,000",Midwest
2022-11-30,870.948280910149,"30,000,000-100,000,000",Nationwide
2022-11-30,1203.4238570245566,"10,000,000-30,000,000",Northeast
2022-11-30,708.3170427534734,"10,000,000-30,000,000",South
2022-11-30,837.317428292294,"10,000,000-30,000,000",West
2022-12-07,996.6057879981176,"3,000,000-10,000,000",Midwest
2022-12-07,916.882915078798,"30,000,000-100,000,000",Nationwide
2022-12-07,1312.690414940678,"10,000,000-30,000,000",Northeast
2022-12-07,760.1917677811165,"10,000,000-30,000,000",South
2022-12-07,770.7394183134701,"10,000,000-30,000,000",West
2022-12-14,967.3655317916988,"3,000,000-10,000,000",Midwest
2022-12-14,941.3094487083042,"30,000,000-100,000,000",Nationwide
2022-12-14,1368.2547758197145,"10,000,000-30,000,000",Northeast
2022-12-14,819.3425390147216,"10,000,000-30,000,000",South
2022-12-14,720.8646883799047,"10,000,000-30,000,000",West
